"brims" barone, midway mobster	evasive
"lifetime" pass holder	
+2 mace	equipment
17-year cicadas	removal,tokens
70,000 light-years from home	removal,ramp,land_fetch
_____	
_____ _____ _____ trespasser	
_____ bird gets the worm	evasive
_____-o-saurus	evasive
a girl and her dogs	tokens
a good day to die	combat_pump
a killer among us	tokens
a little chat	draw,cantrip
a real handful	evasive
a tale for the ages	anthem
a-acererak the archlich	tokens
a-akki ronin	
a-ancestral katana	anthem,equipment
a-armory veteran	evasive
a-asari captain	evasive,haste
a-binding geist	
a-blessed hippogriff	evasive
a-blood artist	
a-briar hydra	evasive
a-brine comber	tokens
a-brinebound gift	tokens
a-buy your silence	removal
a-cabaretti charm	removal,tokens
a-canopy tactician	mana_dork,ramp,anthem
a-carnelian orb of dragonkind	mana_dork,ramp
a-case the joint	draw,cantrip
a-catlike curiosity	anthem
a-cauldron familiar	
a-celestial regulator	evasive
a-circle of the land druid	
a-civil servant	
a-cloister gargoyle	evasive
a-cobbled lancer	
a-cori-steel cutter	tokens,equipment
a-cosmos charger	evasive
a-dawnbringer cleric	
a-deal gone bad	combat_pump
a-death-priest of myrkul	anthem,tokens
a-demon's due	draw,cantrip
a-departed soulkeeper	evasive
a-devoted grafkeeper	
a-dissonant wave	counterspell
a-dokuchi silencer	
a-dorothea, vengeful victim	evasive
a-dragon's rage channeler	evasive
a-dragonborn looter	
a-dreamshackle geist	evasive
a-druid class	ramp
a-dwarfhold champion	
a-earthquake dragon	evasive
a-eiganjo exemplar	
a-elderfang ritualist	
a-elderleaf mentor	tokens
a-elven bow	anthem,tokens,equipment
a-emerald dragon	evasive
a-excavation explosion	removal
a-eyes of the beholder	combat_pump
a-falcon abomination	tokens,evasive
a-futurist operative	
a-galvanic discharge	removal
a-gnarlid colony	
a-goggles of night	equipment
a-goma fada vanguard	
a-graveyard shift	reanimation
a-guide of souls	
a-guildsworn prowler	
a-gutter shortcut	anthem
a-hagra constrictor	
a-hakka, whispering raven	evasive
a-harald, king of skemfar	evasive
a-haywire mite	
a-heartfire hero	
a-hobbling zombie	tokens
a-imperial subduer	
a-iridescent hornbeetle	tokens
a-jackhammer	anthem,equipment
a-jade orb of dragonkind	mana_dork,ramp
a-kargan intimidator	
a-kargan warleader	anthem
a-knockout blow	removal
a-krydle of baldur's gate	
a-lantern bearer	evasive
a-lantern of revealing	mana_dork,ramp
a-lanterns' lift	anthem
a-lapis orb of dragonkind	mana_dork,ramp
a-llanowar greenwidow	evasive
a-llanowar loamspeaker	mana_dork,ramp
a-maelstrom muse	evasive
a-manticore	evasive
a-masked bandits	evasive
a-master of winds	evasive
a-mentor's guidance	draw,cantrip
a-metropolis angel	evasive
a-midnight assassin	evasive
a-minsc & boo, timeless heroes	tokens
a-mischievous catgeist	
a-mishra, excavation prodigy	
a-moon-circuit hacker	
a-moss-pit skeleton	
a-most wanted	anthem
a-nadu, winged wisdom	evasive
a-nael, avizoa aeronaut	evasive
a-nahiri, heir of the ancients	tokens
a-narfi, betrayer king	anthem
a-nezumi prowler	
a-ocelot pride	tokens
a-ochre jelly	evasive
a-orcish bowmasters	
a-paragon of modernity	evasive
a-patrician geist	anthem,evasive
a-peerless samurai	evasive
a-phantom carriage	evasive
a-phylath, world sculptor	tokens,evasive
a-plate armor	anthem,equipment
a-pseudodragon familiar	evasive
a-radha's firebrand	
a-rakish revelers	tokens
a-ready to rumble	removal
a-return upon the tide	tokens,reanimation
a-revel ruiner	evasive
a-riveteers initiate	
a-rulik mons, warren chief	tokens,evasive
a-saheeli, filigree master	tokens
a-sand augury	draw,cantrip
a-scout the wilderness	ramp,land_fetch,tokens
a-sepulcher ghoul	
a-shattered seraph	evasive
a-shipwreck sifters	
a-sigardian paladin	evasive
a-silver-fur master	anthem
a-skemfar avenger	
a-skemfar elderhall	tokens
a-skull skaab	tokens
a-speakeasy server	evasive
a-spell satchel	mana_dork,ramp
a-split the spoils	removal
a-splitting the powerstone	draw,cantrip
a-sprouting goblin	
a-steadfast unicorn	
a-stimulus package	tokens
a-stitched assistant	
a-sunbathing rootwalla	
a-symmetry sage	evasive
a-syndicate infiltrator	evasive
a-tanazir quandrix	evasive
a-thousand-faced shadow	evasive
a-tome shredder	haste
a-triumphant adventurer	
a-tyvar kell	tokens
a-umara mystic	evasive,haste
a-urza's command	draw,cantrip,tokens
a-urza, powerstone prodigy	
a-vampire scrivener	evasive
a-vega, the watcher	evasive
a-vivi ornitier	mana_dork,ramp
a-warm welcome	draw,cantrip,tokens
a-will, scholar of frost	tokens
a-you come to a river	combat_pump
a-young blue dragon	evasive
a-young red dragon	evasive
a.i.m. bot	evasive
a.i.m. synthoids	
aang and katara	tokens
aang and la, ocean's fury	evasive
aang's defense	draw,cantrip,combat_pump
aang's journey	ramp,land_fetch
aang, air nomad	evasive
aang, airbending master	tokens
aang, at the crossroads	evasive
aang, destined savior	evasive
aang, master of elements	evasive
aang, swift savior	evasive
aang, the last airbender	evasive
aarakocra sneak	evasive
aardwolf's advantage	mass_pump
aatchik, emerald radian	tokens
abaddon the despoiler	evasive
abandon attachments	draw,cantrip
abbey gargoyles	evasive
abbey griffin	evasive
abbot of keral keep	
abbot of the sacred meeple	
abby, merciless soldier	tokens
abdel adrian, gorion's ward	tokens
aberrant	evasive
aberrant manawurm	evasive
aberrant researcher	evasive
abeyance	draw,cantrip
abhorrent oculus	evasive
abhorrent overlord	tokens,evasive
abian, luvion usurper	tokens
abigale, eloquent first-year	evasive
abigale, poet laureate	evasive
abjure	counterspell
abolish	removal
abolisher of bloodlines	evasive
abominable treefolk	evasive
abomination of gudul	evasive
abomination of llanowar	evasive
abomination, irradiated brute	evasive
abomination, terrifying titan	evasive
abomination, world ravager	evasive
abrade	removal
abrupt decay	removal
absolute virtue	evasive
absolving lammasu	evasive
absorb	counterspell
absorb identity	removal
abstergo entertainment	sweeper
abstract iguanart	
abstract performance	removal,sweeper
abstruse appropriation	removal
abstruse interference	counterspell,tokens
abu ja'far	
abuelo, ancestral echo	evasive
abuna acolyte	
abundant countryside	tokens
abyssal gatekeeper	
abyssal harvester	sweeper
abyssal horror	evasive
abyssal persecutor	evasive
abyssal specter	evasive
abzan ascendancy	tokens
abzan banner	mana_dork,ramp
abzan charm	removal,draw,cantrip
abzan devotee	
abzan monument	tokens
abzan runemark	anthem
abzan skycaptain	evasive
academy drake	evasive
academy loremaster	
academy raider	evasive
accelerate	draw,cantrip
accelerated evolution	anthem
accelerated mutation	combat_pump
acceptable losses	removal
access denied	counterspell,tokens
accident-prone apprentice	
accomplished alchemist	mana_dork,ramp
accorder paladin	
accorder's shield	anthem,equipment
accumulate wisdom	draw,cantrip
accumulated knowledge	draw,cantrip
accursed centaur	
accursed marauder	
accursed spirit	evasive
ace flockbringer	evasive
ace's baseball bat	anthem,equipment
acererak the archlich	tokens
achilles davenport	anthem,evasive
acid rain	sweeper
acid-spewer dragon	evasive
acidic sliver	
aclazotz, deepest betrayal	tokens,evasive
acolyte of xathrid	
acolyte's reward	removal,burn
acorn catapult	tokens
acorn harvest	tokens
acquired mutation	anthem
acquisition octopus	equipment
